Player,Position,College,Teams
Aaitui Isaako,DT,Nevada-Las Vegas,2013 Mia
Abad Manny,DB,Florida Tech,--
Abanikanda Israel,RB,Pittsburgh,2023 NYJ
Abbate Jon,LB,Wake Forest,--
Abbey Joe,OE,North Texas,"1948 Chi, 1949 NYB"
Abbott Fay,RB/BB,Syracuse,1921-1929 Day
Abbott Samson,DL,Manitoba,--
Abbott Vince,K,Cal State-Fullerton,1987-1988 SD
Abbrederis Jared,WR,Wisconsin,"2015-2016 GB, 2017 Det"
Abbruzzi Lou,RB/DB,Rhode Island,1946 BosY
Abdallah Nader,DT,Ohio State,--
Abdesmad Mehdi,DE,Boston College,2016 Ten
Abdul-Quddus Isa,DB,Fordham,"2011-2013 NO, 2014-2015 Det, 2016 Mia"
Abdulai Ibraham,DT,Arkansas-Pine Bluff,--
Abdullah Ameer,RB,Nebraska,"2015-2018 Det, 2018-2021 Min, 2021 Car, 2022-2023 LV"
Abdullah Hamza,DB,Washington State,"2005-2007 Den, 2008 Cle, 2008 Den, 2009-2011 Ari"
Abdullah Husain,DB,Washington State,"2008-2011 Min, 2013-2015 KC"
Abdullah Khalid,LB,Mars Hill,2003 Cin
Abdullah Khalid,RB,James Madison,--
Abdullah Rabih,RB,Lehigh,"1999-2001 TB, 2002-2003 Chi, 2004 NE"
Abdullah Rahim,LB,Clemson,1999-2000 Cle
Abdullah Yasir,LB,Louisville,2023 Jax
Abe Nachi,TE,Nihon University,"NFLE: 1997-1998,2000 Sco"
Abe Takuro,LB,Kyoto University,NFLE: 1996 Ams
Abel Fred,BB/RB,Washington,1926 Mil
Abell Bud,LB,Missouri,1966-1968 KC
Abercrombie Walter,RB,Baylor,"1982-1987 Pit, 1988 Phi"
Abernathy Chad,OT,Arkansas,NFLE: 2000 Sco
Abernathy Micah,DB,Tennessee,"2022 GB, 2022-2023 Atl"
Aberson Cliff,RB/DB,--,1946 GB
Abiamiri Rob,TE,Maryland,NFLE: 2007 Ber
Abiamiri Victor,DE,Notre Dame,"2007-2009,2011 Phi"
Abney Derek,WR,Kentucky,--
Abojei Eric,OT,Wyoming,--
Aboushi Oday,OG,Virginia,"2013-2014 NYJ, 2015-2016 Hou, 2017 Sea, 2018 Ari, 2019-2020 Det, 2021 LAC, 2022 LA"
Abraham Clifton,DB,Florida State,"1995 TB, 1996 Chi, 1997 Car"
Abraham Donnie,DB,East Tennessee State,"1996-2001 TB, 2002-2004 NYJ"
Abraham John,DE,South Carolina,"2000-2005 NYJ, 2006-2012 Atl, 2013-2014 Ari"
Abraham Robert,LB,North Carolina State,1982-1987 Hou
Abraham Victor,LB,Saginaw Valley State,--
Abrahams-Webster Treshaun,DB,Calgary,--
Abram Chad,RB,Florida State,--
Abram Johnathan,DB,Mississippi State,"2019 Oak, 2020-2022 LV, 2022 GB, 2022 Sea, 2023 NO"
Abram Keshunn,WR,Kent State,--
Abramowicz Danny,WR,Xavier,"1967-1973 NO, 1973-1974 SF"
Abramowitz Sid,OT,Tulsa,"1983 Bal, 1984 Sea, 1985 NYJ, 1987 Ind"
Abrams Bobby,LB,Michigan,"1990-1991 NYG, 1992 Dal, 1992 Cle, 1992 NYG, 1993 Dal, 1993-1994 Min, 1995 NE"
Abrams Delrick,DB,Colorado,2020 Atl
Abrams Kevin,DB,Syracuse,1997-1999 Det
Abrams Nate,OE,--,1921 GB
Abramson George,OG/OT,Minnesota,1925 GB
Abrell Dick,BB/RB,Purdue,1920 Day
Abron Zack,RB,Missouri,NFLE: 2005 Ham
Abruzzese Ray,DB,Alabama,"1962-1964 Buf, 1965-1966 NYJ"
Abruzzino Frank,LB/BB,Colgate,"1931 Bkn, 1933 Cin"
Absheer Kai,OL,Florida International,--
Absher Dante,WR,Glenville State,--
Absher Dick,LB,Maryland,"1967 Was, 1967-1968 Atl, 1969-1971 NO, 1972 Phi"
Acedo Oscar,LB,--,NFLE: 2003 Bar
Achane Devon,RB,Texas A&M,2023 Mia
Ache Steve,LB,Southwest Missouri State,1987 Min
Acheampong Samuel,DL,Wilfrid Laurier,--
Achica George,DT,Southern California,1985 Ind
Achiu Sneeze,RB/OE,Dayton,1927-1928 Day
Acho Emmanuel,LB,Texas,"2012 Cle, 2013-2014 Phi"
Acho Sam,LB,Texas,"2011-2014 Ari, 2015-2018 Chi, 2019 TB"
Acholonu D.D.,LB,Washington State,--
Acker Bill,DT,Texas,"1980-1981 Stl, 1982 KC, 1983-1984 Buf, 1987 KC"
Acker Kenneth,DB,Southern Methodist,"2015 SF, 2016-2017 KC"
Acker Kyle,TE,Salisbury State,--
